"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-HSA-162599","Late Phase of HIV Life Cycle",59,-0.410521127955427,-2.92186196779416,1.23376034706978e-10,1.17992353192492e-08,9.33879841657602e-09,3665,"tags=93%, list=43%, signal=54%","93343/79720/2961/5437/7936/79902/51160/2962/5905/1104/9688/5440/22916/348995/51616/81929/55706/6827/6880/7175/23165/91782/9631/129401/2960/2967/53371/6917/5432/4686/51652/55746/905/83860/904/7251/2958/8731/6924/9972/79023/7314/25978/6879/51271/9818/2957/5431/5433/89853/137492/5903/2963/51534/4331"
"R-HSA-375276","Peptide ligand-binding receptors",81,0.621738034980547,1.88450975869862,1.79300074467275e-10,1.57186398616311e-08,1.24409086757556e-08,1923,"tags=68%, list=22%, signal=53%","6363/2151/6288/6357/10563/4986/5020/623/5368/6360/10886/6869/51083/624/6863/5196/3640/6348/719/5473/2359/2837/1233/2358/4828/6368/3577/6366/2532/718/728/2833/3579/2357/6367/6351/3627/60675/27202/4283/4987/301/6349/6347/3576/1238/2861/58191/6866/51554/56477/729230/6375/1234/5179"
"R-HSA-5696398","Nucleotide Excision Repair",49,-0.459945434598687,-3.04532014335174,2.02388433518467e-10,1.6377894773956e-08,1.29626923816282e-08,3433,"tags=92%, list=40%, signal=55%","5424/5437/3978/10401/7515/56949/7508/5440/4798/7528/6612/5981/54617/10038/2967/8554/6917/5432/7341/2074/2033/54107/51426/7874/1161/54778/7334/6117/54891/7507/7314/10987/5431/51138/85015/10920/5433/5887/7336/9318/4331/142/8451/8533/5886"
"R-HSA-6781827","Transcription-Coupled Nucleotide Excision Repair (TC-NER)",28,-0.601498478108171,-3.35945815761412,2.03365746649827e-09,1.52814832482584e-07,1.20949101954897e-07,3433,"tags=100%, list=40%, signal=60%","5437/3978/7515/56949/5440/5981/2967/6917/5432/2074/2033/54107/51426/7874/1161/6117/7507/7314/10987/5431/51138/10920/5433/9318/4331/8451/8533"
"R-HSA-8949613","Cristae formation",17,-0.755295582291813,-3.45613105644006,2.58774248304608e-09,1.81487006144298e-07,1.43642407304523e-07,1636,"tags=94%, list=19%, signal=76%","10632/55735/440574/10476/25813/539/515/509/10651/10989/3313/27109/139322/4509/54927/4508"
"R-HSA-71406","Pyruvate metabolism and Citric Acid (TCA) cycle",22,-0.68700211726581,-3.49189148700563,2.79852273961137e-09,1.84002870129448e-07,1.45633650462671e-07,1865,"tags=91%, list=22%, signal=71%","57546/3420/81889/6256/2739/79944/5163/8802/8801/2271/4199/1431/51660/6392/137872/1738/8803/1737/23530/54704"
"R-HSA-72306","tRNA processing",43,-0.455091981363253,-2.94259519120668,3.03286724896672e-09,1.87680961524294e-07,1.48544767426172e-07,3680,"tags=98%, list=43%, signal=56%","29894/283989/51367/80324/4234/51504/79902/81890/55621/9688/127253/11260/348995/81929/10556/51637/55706/1787/7175/23165/9631/129401/51605/53371/129450/54888/339487/116461/55746/79074/9972/79023/25821/9818/2058/54482/91801/54931/51002/5903/54901/1653"
"R-HSA-1474244","Extracellular matrix organization",189,0.501772396078828,1.58304403719862,2.27148295264701e-08,1.28643100444234e-06,1.01817783121262e-06,2789,"tags=60%, list=33%, signal=42%","1311/4314/284217/6696/8038/8785/283208/1277/6382/1301/1296/1308/3371/1511/9509/1300/8200/4237/170692/1310/7177/1278/7057/7373/84034/1215/170690/1281/7076/4318/2006/26577/1513/2202/655/4313/11131/5118/4323/4060/4327/63923/2192/4015/5054/633/169044/3385/5654/2331/7143/999/1462/3684/2200/3689/1289/4239/8076/64386/10536/22801/3674/4017/7077/1292/3691/1307/960/1520/54829/7412/80781/7148/84570/101/9508/1291/1298/4326/164656/87/1290/1303/176/3687/4016/3683/5479/2335/222663/3696/871/140766/84695/4320/147968/7087/1634/7040/80274/8515/3690/1991/1293/11117/11096/10893/9507/3675/6383/4148/6678/4684"
"R-HSA-372790","Signaling by GPCR",319,0.455076579230389,1.45872826228211,2.32340200422095e-08,1.28643100444234e-06,1.01817783121262e-06,2491,"tags=50%, list=29%, signal=36%","6363/4314/338557/84152/2151/6288/6357/10563/9162/27198/4986/5020/623/5746/7472/5368/6360/151306/338442/10886/6869/2838/2863/797/150/51083/624/53831/1269/5733/5140/79924/26166/6863/140/7480/5196/80326/3351/3640/5995/5744/6348/719/54886/5473/2359/5996/2918/9560/2837/1233/2769/51384/2358/4828/6368/3577/6366/2532/718/64805/7409/3973/2846/57121/728/5739/116/56670/2833/3579/27334/2357/6367/6351/9170/3357/3627/60675/27202/4283/5577/5737/10287/5321/3269/5731/5724/2696/5330/4987/221472/8843/6714/5580/301/9290/6349/5997/6347/695/7074/3576/8698/147/1238/2861/58191/63940/64407/6866/51554/4168/56477/23533/729230/1902/53829/9294/27199/6375/3363/29933/1240/1234/5179/1606/6195/445328/9890/2867/5364/10800/7433/1880/5732/4157/6003/5579/2335/8786/26086/8477/25791/2150/6373/5153/11245/3274/1236/10316/165140/2015/1812/8111/50846/7984"
"R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",88,0.572079211230898,1.7431580635551,6.13477825677507e-08,3.22689336306368e-06,2.5540050532153e-06,3104,"tags=85%, list=36%, signal=55%","54209/1277/1308/339390/2209/1278/1281/340205/10990/11006/7305/10870/3385/718/126014/10871/10859/6402/11027/27181/146722/925/3903/6614/131450/946/999/353514/4068/3689/114836/930/11025/933/10288/2213/57823/120425/259197/11314/945/124599/27036/916/27180/959/926/7412/196500/54210/89790/915/56253/917/3683/135250/3820/11024/2214/114132/7087/4267/342510/81035/56654/3821/4277/8519/975/919/3695/3134/3106/3383/3105"
"R-HSA-191859","snRNP Assembly",25,-0.573849910198691,-3.09490370845552,8.69847411784845e-08,4.15945216908026e-06,3.29210192689862e-06,3102,"tags=92%, list=36%, signal=59%","9688/22916/348995/81929/55706/7175/23165/11218/9631/6632/129401/53371/6634/1207/4686/10073/55746/51808/9972/79023/9818/25929/5903"
"R-HSA-194441","Metabolism of non-coding RNA",25,-0.573849910198691,-3.09490370845552,8.69847411784845e-08,4.15945216908026e-06,3.29210192689862e-06,3102,"tags=92%, list=36%, signal=59%","9688/22916/348995/81929/55706/7175/23165/11218/9631/6632/129401/53371/6634/1207/4686/10073/55746/51808/9972/79023/9818/25929/5903"
"R-HSA-72202","Transport of Mature Transcript to Cytoplasm",33,-0.49467025887314,-2.97210686580559,1.31911791096678e-07,6.03353061885675e-06,4.77538795228706e-06,4348,"tags=100%, list=51%, signal=49%","10212/29894/79228/79902/11338/9688/55339/6426/22916/348995/81929/55706/9295/7175/23165/6427/9631/129401/57187/53371/9877/10921/4686/55746/10569/1977/9972/26097/79023/9818/5903/53981"
"R-HSA-168325","Viral Messenger RNA Synthesis",22,-0.607510528778662,-3.08785197366097,1.63055144411577e-07,7.14725049670746e-06,5.65686926445427e-06,3378,"tags=100%, list=39%, signal=61%","79902/2962/9688/5440/348995/81929/55706/7175/23165/9631/129401/53371/5432/55746/9972/79023/9818/5431/5433/5903/2963"
"R-HSA-388396","GPCR downstream signalling",286,0.455959934931816,1.45775164894351,1.94962412048975e-07,8.20401829902088e-06,6.49327443918903e-06,2454,"tags=49%, list=29%, signal=36%","6363/4314/338557/84152/2151/6288/6357/10563/9162/27198/4986/5020/623/5746/5368/6360/151306/338442/10886/6869/2838/2863/797/150/51083/624/53831/1269/5733/5140/79924/26166/6863/140/5196/3351/3640/5995/5744/719/5473/2359/5996/2918/9560/2837/1233/2769/2358/4828/6368/3577/6366/718/64805/7409/3973/2846/57121/728/5739/116/56670/2833/3579/27334/2357/6351/9170/3357/3627/60675/4283/5577/5737/10287/5321/3269/5731/5724/2696/5330/4987/221472/8843/6714/5580/301/9290/5997/695/7074/3576/8698/147/2861/58191/63940/64407/6866/4168/56477/23533/729230/1902/53829/9294/27199/6375/3363/29933/1234/5179/1606/6195/445328/2867/5364/10800/7433/1880/5732/4157/6003/5579/2335/8786/26086/8477/25791/2150/6373/5153/11245/3274/1236/10316/165140/1812/8111"
"R-HSA-3371556","Cellular response to heat stress",38,-0.429441866614469,-2.73206045478509,2.04767006703227e-07,8.28518811737673e-06,6.55751831183209e-06,2757,"tags=89%, list=32%, signal=61%","9688/348995/9529/81929/55706/9530/7175/23165/9631/129401/53371/1387/3297/27000/55746/10728/2033/51501/7531/6117/9972/79023/7266/2475/9818/51182/6767/23411/3320/5903/3312/3313/573/818"
"R-HSA-6782210","Gap-filling DNA repair synthesis and ligation in TC-NER",22,-0.601076275152082,-3.05514797625074,2.34465081514223e-07,8.91102808046169e-06,7.05285492459996e-06,3433,"tags=100%, list=40%, signal=60%","5437/3978/7515/56949/5440/5981/2967/6917/5432/2074/2033/54107/51426/7874/1161/6117/7314/5431/5433/4331/8451"
"R-HSA-5696399","Global Genome Nucleotide Excision Repair (GG-NER)",38,-0.425834855760835,-2.70911306078534,2.3717565233168e-07,8.91102808046169e-06,7.05285492459996e-06,3433,"tags=89%, list=40%, signal=54%","5424/3978/10401/7515/7508/4798/7528/6612/5981/54617/10038/2967/8554/7341/54107/51426/54778/7334/6117/54891/7507/7314/10987/51138/85015/10920/5887/7336/9318/4331/142/8451/8533/5886"
"R-HSA-379724","tRNA Aminoacylation",18,-0.693288119738073,-3.19888643016996,2.46550350989834e-07,8.94382652556226e-06,7.07881407016185e-06,2642,"tags=100%, list=31%, signal=69%","10352/10667/23438/9521/3735/5464/10056/27068/1615/2058/51520/55699/4677/3376/9255/55157/79731"
"R-HSA-1268020","Mitochondrial protein import",20,-0.654013195426256,-3.16644230512491,2.64923892943403e-07,9.289997845882e-06,7.35279997607831e-06,1526,"tags=90%, list=18%, signal=74%","9512/9804/80273/25813/100287932/10440/1678/131118/56942/2395/388753/10651/3313/9868/29090/131474/1431/54927"
"R-HSA-6781823","Formation of TC-NER Pre-Incision Complex",21,-0.607439466604281,-3.00619068617163,3.89749517078284e-07,1.28130153739486e-05,1.01411798687146e-05,3378,"tags=86%, list=39%, signal=52%","2967/6917/5432/2074/2033/7874/1161/7507/7314/10987/5431/51138/10920/5433/9318/4331/8451/8533"
"R-HSA-72165","mRNA Splicing - Minor Pathway",21,-0.607439466604281,-3.00619068617163,3.89749517078284e-07,1.28130153739486e-05,1.01411798687146e-05,3378,"tags=100%, list=39%, signal=61%","10262/2962/6426/5440/23020/22916/9343/23451/6427/6632/6634/5432/4686/10594/154007/4904/85437/5431/5433/2963"
"R-HSA-6782135","Dual incision in TC-NER",21,-0.601005965610013,-2.97435157819177,5.68489840136688e-07,1.81227670249635e-05,1.43437149457136e-05,3433,"tags=100%, list=40%, signal=60%","5437/56949/5440/5981/2967/6917/5432/2074/2033/54107/51426/7874/1161/6117/7507/7314/5431/5433/4331/8451"
"R-HSA-159236","Transport of Mature mRNA derived from an Intron-Containing Transcript",29,-0.494438590329001,-2.79906951763372,7.09926738989845e-07,2.1965968512274e-05,1.73855124006491e-05,4348,"tags=100%, list=51%, signal=49%","10212/79228/79902/11338/9688/6426/22916/348995/81929/55706/9295/7175/23165/6427/9631/129401/57187/53371/9877/10921/4686/55746/10569/9972/26097/79023/9818/5903"
"R-HSA-71403","Citric acid cycle (TCA cycle)",10,-0.807126168224299,-2.82733149636994,1.11419197820068e-06,3.34894274590604e-05,2.65060407445635e-05,1662,"tags=100%, list=19%, signal=81%","81889/8802/8801/2271/1431/6392/1738/8803/23530"
"R-HSA-3371453","Regulation of HSF1-mediated heat shock response",31,-0.476613284328279,-2.77386688132681,1.15334040768064e-06,3.37031696911119e-05,2.66752123530814e-05,3292,"tags=90%, list=38%, signal=56%","9688/348995/9529/81929/55706/9530/7175/23165/9631/129401/53371/3297/27000/55746/51501/7531/6117/9972/79023/7266/9818/51182/6767/23411/5903/3312/3313/573"
"R-HSA-1474228","Degradation of the extracellular matrix",82,0.555062439876913,1.68405591161126,1.20644568821907e-06,3.43021855136883e-05,2.71493183323268e-05,2636,"tags=67%, list=31%, signal=47%","4314/6696/1277/1301/1296/1308/1511/1300/170692/1310/7177/1278/7373/1215/170690/1281/7076/4318/2006/1513/4313/11131/4323/4327/5654/999/2200/1289/64386/7077/1292/1307/960/1520/80781/84570/101/1291/1298/4326/164656/1290/1303/176/2335/222663/4320/147968/1634/80274/1991/1293/11096/10893/9507"
"R-HSA-418594","G alpha (i) signalling events",147,0.497776927178381,1.55485774480892,1.3775700453848e-06,3.81369391511792e-05,3.01844295262985e-05,1785,"tags=46%, list=21%, signal=37%","6363/84152/6288/6357/10563/27198/4986/623/5368/6360/338442/150/51083/624/1269/5733/26166/140/5196/3351/5995/719/5473/2359/5996/2918/9560/1233/2769/2358/6368/3577/6366/718/64805/57121/728/56670/2833/3579/2357/6351/9170/3627/4283/5577/10287/5321/5330/4987/8843/6714/5580/301/9290/3576/8698/2861/58191/63940/64407/56477/729230/1902/53829/9294/27199"
"R-HSA-4085377","SUMOylation of SUMOylation proteins",17,-0.639424763240968,-2.92592176401757,1.68100675525422e-06,4.11260257331962e-05,3.25502164848491e-05,3102,"tags=100%, list=36%, signal=64%","9688/348995/81929/55706/7175/23165/9631/129401/53371/10210/7341/55746/9972/79023/9818/5903"
"R-HSA-165054","Rev-mediated nuclear export of HIV RNA",17,-0.639424763240968,-2.92592176401757,1.68100675525422e-06,4.11260257331962e-05,3.25502164848491e-05,3102,"tags=100%, list=36%, signal=64%","5905/1104/9688/348995/81929/55706/7175/23165/9631/129401/53371/55746/9972/79023/9818/5903"
"R-HSA-177243","Interactions of Rev with host cellular proteins",17,-0.639424763240968,-2.92592176401757,1.68100675525422e-06,4.11260257331962e-05,3.25502164848491e-05,3102,"tags=100%, list=36%, signal=64%","5905/1104/9688/348995/81929/55706/7175/23165/9631/129401/53371/55746/9972/79023/9818/5903"
"R-HSA-3301854","Nuclear Pore Complex (NPC) Disassembly",17,-0.639424763240968,-2.92592176401757,1.68100675525422e-06,4.11260257331962e-05,3.25502164848491e-05,3102,"tags=100%, list=36%, signal=64%","9688/348995/81929/55706/7175/23165/9631/129401/53371/55746/9972/79023/9818/91754/140609/5903"
"R-HSA-180910","Vpr-mediated nuclear import of PICs",17,-0.639424763240968,-2.92592176401757,1.68100675525422e-06,4.11260257331962e-05,3.25502164848491e-05,3102,"tags=100%, list=36%, signal=64%","9688/348995/81929/55706/7175/23165/9631/129401/11168/53371/55746/9972/79023/9818/5903/3159"
"R-HSA-6790901","rRNA modification in the nucleus and cytosol",21,-0.573985261434086,-2.84062732467634,1.9709959858332e-06,4.71247222067391e-05,3.72980340859822e-05,3664,"tags=100%, list=43%, signal=57%","2091/51504/51096/1736/84135/10199/27340/8602/11056/9790/88745/9724/23160/25926/55623/134430/51202/10171/51118/11103"
"R-HSA-72702","Ribosomal scanning and start codon recognition",15,-0.677966101694915,-2.90560676104444,2.09385075739706e-06,4.89495777062601e-05,3.87423613824812e-05,2771,"tags=100%, list=32%, signal=68%","10480/8667/8665/3646/1965/8663/1977/8894/1975/51386/1974/8669/1964/1983"
"R-HSA-159231","Transport of Mature mRNA Derived from an Intronless Transcript",21,-0.57211369750848,-2.83136503871856,2.29647307767282e-06,5.14019080364214e-05,4.06833192483583e-05,3680,"tags=90%, list=43%, signal=52%","9688/55339/22916/348995/81929/55706/7175/23165/9631/129401/53371/4686/55746/1977/9972/79023/9818/5903/53981"
"R-HSA-159234","Transport of Mature mRNAs Derived from Intronless Transcripts",21,-0.57211369750848,-2.83136503871856,2.29647307767282e-06,5.14019080364214e-05,4.06833192483583e-05,3680,"tags=90%, list=43%, signal=52%","9688/55339/22916/348995/81929/55706/7175/23165/9631/129401/53371/4686/55746/1977/9972/79023/9818/5903/53981"
"R-HSA-159227","Transport of the SLBP independent Mature mRNA",18,-0.639499532273152,-2.95070161689991,3.0360050792697e-06,6.51811702733005e-05,5.15892592417257e-05,3102,"tags=100%, list=36%, signal=64%","9688/22916/348995/81929/55706/7175/23165/9631/129401/53371/4686/55746/1977/9972/79023/9818/5903"
"R-HSA-159230","Transport of the SLBP Dependant Mature mRNA",18,-0.639499532273152,-2.95070161689991,3.0360050792697e-06,6.51811702733005e-05,5.15892592417257e-05,3102,"tags=100%, list=36%, signal=64%","9688/22916/348995/81929/55706/7175/23165/9631/129401/53371/4686/55746/1977/9972/79023/9818/5903"
"R-HSA-180746","Nuclear import of Rev protein",16,-0.639350011690437,-2.83613726330382,6.45928644877749e-06,0.000133238614590469,0.000105455017151352,3102,"tags=100%, list=36%, signal=64%","1104/9688/348995/81929/55706/7175/23165/9631/129401/53371/55746/9972/79023/9818/5903"
"R-HSA-9615933","Postmitotic nuclear pore complex (NPC) reformation",16,-0.639350011690437,-2.83613726330382,6.45928644877749e-06,0.000133238614590469,0.000105455017151352,3102,"tags=100%, list=36%, signal=64%","5905/1104/9688/348995/81929/55706/23165/9631/129401/53371/7341/55746/79023/9818/25909"
"R-HSA-2151201","Transcriptional activation of mitochondrial biogenesis",26,-0.483602437093257,-2.63108747239561,7.20814140046458e-06,0.000143622632969698,0.000113673706903173,3316,"tags=81%, list=39%, signal=50%","4899/23054/3054/1386/1387/79718/2551/7978/5469/23410/10499/7019/9611/80205/6256/64216/23408/9572/10498/54205/5465"
"R-HSA-429914","Deadenylation-dependent mRNA decay",25,-0.485555915938973,-2.61871401945804,7.26304771016919e-06,0.000143622632969698,0.000113673706903173,2623,"tags=84%, list=31%, signal=58%","27257/5393/11340/4848/79670/55571/27258/22894/23019/1977/1975/1656/1974/23658/4850/9652/10605/23318/219988/54464/29883"
"R-HSA-6811440","Retrograde transport at the Trans-Golgi-Network",25,-0.48519602106495,-2.61677302415513,7.37226443000351e-06,0.000143622632969698,0.000113673706903173,4425,"tags=100%, list=52%, signal=49%","8677/51560/9712/23647/10228/738/9341/51542/9382/83548/8774/2800/8674/9648/400/10466/143187/22796/57511/5870/60560/60592/122830/2803"
"R-HSA-6803157","Antimicrobial peptides",26,0.697691616393905,1.92070747635658,8.41246655472612e-06,0.000160907542101307,0.000127354278369155,1716,"tags=78%, list=20%, signal=62%","5320/1672/55894/55894/820/1511/55600/671/3934/920/8993/728358/1668/6279/1667/6280/1191/4069/6039/7097/729230"
"R-HSA-380108","Chemokine receptors bind chemokines",35,0.645785854924166,1.83483565184021,9.44359720479994e-06,0.000177404718918742,0.00014041137949242,1921,"tags=74%, list=22%, signal=58%","6363/6357/10563/6360/5196/6348/5473/1233/3577/6366/2833/3579/6367/6351/3627/4283/6349/6347/3576/1238/58191/51554/56477/729230/6375/1234"
"R-HSA-168271","Transport of Ribonucleoproteins into the Host Nucleus",15,-0.63927527761543,-2.73978678899173,1.04484768792797e-05,0.00018630165554241,0.000147453081382876,3102,"tags=100%, list=36%, signal=64%","9688/348995/81929/55706/7175/23165/9631/129401/53371/55746/9972/79023/9818/5903"
"R-HSA-168274","Export of Viral Ribonucleoproteins from Nucleus",15,-0.63927527761543,-2.73978678899173,1.04484768792797e-05,0.00018630165554241,0.000147453081382876,3102,"tags=100%, list=36%, signal=64%","9688/348995/81929/55706/7175/23165/9631/129401/53371/55746/9972/79023/9818/5903"
"R-HSA-168333","NEP/NS2 Interacts with the Cellular Export Machinery",15,-0.63927527761543,-2.73978678899173,1.04484768792797e-05,0.00018630165554241,0.000147453081382876,3102,"tags=100%, list=36%, signal=64%","9688/348995/81929/55706/7175/23165/9631/129401/53371/55746/9972/79023/9818/5903"
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling",65,0.56739701555129,1.69536738289528,1.18828845909722e-05,0.000208346576495046,0.000164901082657175,2397,"tags=66%, list=28%, signal=48%","4314/6288/7291/3586/1026/2353/1278/2162/10538/7076/4318/2208/3934/3976/4313/4582/7431/3718/9021/6367/3598/3082/3684/240/3689/5008/5743/301/6347/3576/3662/3566/3561/7412/8651/7124/3687/2335/3569/4609/3726/6778/7040"
"R-HSA-73856","RNA Polymerase II Transcription Termination",22,-0.498479176415536,-2.53366787209116,1.51420712960449e-05,0.000261138672187528,0.000206684700520647,4310,"tags=86%, list=50%, signal=43%","11338/55339/6426/1479/22916/9295/1477/10914/6427/57187/6634/9877/10921/11051/4686/10569/26097/23283/53981"
"R-HSA-379716","Cytosolic tRNA aminoacylation",10,-0.751869158878505,-2.6337683471757,2.01473704327118e-05,0.000341855382180851,0.000270569949274618,2135,"tags=100%, list=25%, signal=75%","3735/5464/10056/1615/2058/51520/4677/3376/9255"
"R-HSA-5696395","Formation of Incision Complex in GG-NER",20,-0.533158455433225,-2.58131716672554,2.25625527202644e-05,0.000376758816852669,0.00029819514121519,3211,"tags=85%, list=37%, signal=53%","6612/10038/2967/8554/7341/54778/7334/6117/7507/7314/85015/5887/7336/4331/142/8451/5886"
"R-HSA-8948751","Regulation of PTEN stability and activity",31,-0.411833862266867,-2.39685369399845,2.70195659606635e-05,0.000444134115478407,0.000351520997942185,3613,"tags=94%, list=42%, signal=54%","5721/5699/11060/5720/10000/5987/10197/23608/5719/5682/5683/5684/5685/5717/5706/7314/9861/331/5701/5700/8658/1457/5687/81847/5713/5718/23198/4734/80351"
"R-HSA-1442490","Collagen degradation",37,0.627592181016458,1.79266408819872,2.79390863937071e-05,0.00045218336747969,0.000357891778743681,1888,"tags=68%, list=22%, signal=53%","4314/1277/1301/1296/1308/1300/1310/1278/7373/1281/4318/1513/4313/4323/4327/1289/1292/1307/80781/84570/1291/1298/164656/1290/1303"
"R-HSA-112382","Formation of RNA Pol II elongation complex ",20,-0.52327485380117,-2.53346514393211,3.10007568406706e-05,0.000486758152184858,0.000385256852489717,4097,"tags=95%, list=48%, signal=50%","5437/7936/2962/5440/22916/6827/2967/6917/5432/4686/905/904/6924/79577/27125/5431/5433/2963/4331"
"R-HSA-75955","RNA Polymerase II Transcription Elongation",20,-0.52327485380117,-2.53346514393211,3.10007568406706e-05,0.000486758152184858,0.000385256852489717,4097,"tags=95%, list=48%, signal=50%","5437/7936/2962/5440/22916/6827/2967/6917/5432/4686/905/904/6924/79577/27125/5431/5433/2963/4331"
"R-HSA-6805567","Keratinization",29,0.65528272791025,1.82567141535397,3.43688096970612e-05,0.000523999823207367,0.000414732699776894,2571,"tags=86%, list=30%, signal=61%","126638/3852/6705/7062/6704/6768/1475/3868/3856/144501/342574/3848/3875/147183/1823/3855/64065/9333/2125/3880/5493/25984/3861/11187/1832"
"R-HSA-6809371","Formation of the cornified envelope",29,0.65528272791025,1.82567141535397,3.43688096970612e-05,0.000523999823207367,0.000414732699776894,2571,"tags=86%, list=30%, signal=61%","126638/3852/6705/7062/6704/6768/1475/3868/3856/144501/342574/3848/3875/147183/1823/3855/64065/9333/2125/3880/5493/25984/3861/11187/1832"
