pathway	p-value
MSigDB:VERRECCHIA_RESPONSE_TO_TGFB1_C1	6.356103127392963E-31
MSigDB:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	7.969693312440104E-31
MSigDB:JI_CARCINOGENESIS_BY_KRAS_AND_STK11_DN	8.072578559882674E-31
MSigDB:REACTOME_GLYCOSPHINGOLIPID_METABOLISM	8.3496690502025E-31
MSigDB:BOQUEST_STEM_CELL_UP	8.481221456461094E-31
MSigDB:KEGG_OTHER_GLYCAN_DEGRADATION	8.550965728253655E-31
MSigDB:RODWELL_AGING_KIDNEY_UP	8.603847611465138E-31
MSigDB:SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	9.974055952362167E-31
MSigDB:WP_GLYCOSAMINOGLYCAN_DEGRADATION	1.780003246500941E-30
MSigDB:REACTOME_KERATAN_SULFATE_BIOSYNTHESIS	2.06633283142518E-30
MSigDB:NAKAMURA_METASTASIS_MODEL_DN	3.075874213988549E-30
MSigDB:SERVITJA_ISLET_HNF1A_TARGETS_UP	5.42467040446571E-30
MSigDB:BIOCARTA_MONOCYTE_PATHWAY	1.342294479122021E-29
MSigDB:KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1.4237988200815924E-29
MSigDB:SUNG_METASTASIS_STROMA_UP	1.4327096983404924E-29
MSigDB:WP_METABOLISM_OF_SPHINGOLIPIDS_IN_ER_AND_GOLGI_APPARATUS	1.6793218511998948E-29
MSigDB:CROMER_TUMORIGENESIS_UP	3.321374288497307E-29
MSigDB:REACTOME_DEFECTIVE_B4GALT1_CAUSES_B4GALT1_CDG_CDG_2D	4.8716453816865617E-29
MSigDB:KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	5.0350345754482277E-29
MSigDB:HALLMARK_HYPOXIA	5.756501948766154E-29
MSigDB:REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	7.704897715164675E-29
MSigDB:TARTE_PLASMA_CELL_VS_B_LYMPHOCYTE_UP	8.756504928139577E-29
MSigDB:WESTON_VEGFA_TARGETS	8.838100165205695E-29
MSigDB:NABA_PROTEOGLYCANS	8.888546592223532E-29
MSigDB:MEBARKI_HCC_PROGENITOR_WNT_UP	9.737177828306948E-29
MSigDB:NABA_MATRISOME	1.9324541916710713E-28
MSigDB:REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	2.9526478570560908E-28
MSigDB:CARRILLOREIXACH_MRS3_VS_LOWER_RISK_HEPATOBLASTOMA_DN	3.911023228174211E-28
MSigDB:PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	4.925325466171001E-28
MSigDB:KEGG_N_GLYCAN_BIOSYNTHESIS	5.088289478247483E-28
MSigDB:SA_MMP_CYTOKINE_CONNECTION	6.270161300404129E-28
MSigDB:LEE_BMP2_TARGETS_UP	6.625448964125922E-28
MSigDB:NADLER_OBESITY_UP	8.241841104083071E-28
MSigDB:BIOCARTA_LYMPHOCYTE_PATHWAY	8.257340682631392E-28
MSigDB:HUANG_FOXA2_TARGETS_DN	1.2564505164235902E-27
MSigDB:MEBARKI_HCC_PROGENITOR_WNT_UP_CTNNB1_DEPENDENT	3.81964990860653E-27
MSigDB:BIOCARTA_NEUTROPHIL_PATHWAY	3.859253860016202E-27
MSigDB:WINTER_HYPOXIA_METAGENE	4.4464559590285526E-27
MSigDB:KHETCHOUMIAN_TRIM24_TARGETS_UP	5.640802338351682E-27
MSigDB:HELLEBREKERS_SILENCED_DURING_TUMOR_ANGIOGENESIS	6.4264718313098845E-27
MSigDB:KANG_IMMORTALIZED_BY_TERT_DN	7.129406740114758E-27
MSigDB:OZANNE_AP1_TARGETS_UP	1.2117831196216129E-26
MSigDB:FRASOR_TAMOXIFEN_RESPONSE_UP	1.2591919070210866E-26
MSigDB:WESTON_VEGFA_TARGETS_12HR	1.9835777371348475E-26
MSigDB:REACTOME_HS_GAG_BIOSYNTHESIS	2.123790920496178E-26
MSigDB:GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_DN	2.2111274200324377E-26
MSigDB:VERRECCHIA_EARLY_RESPONSE_TO_TGFB1	3.854974476796249E-26
MSigDB:RUTELLA_RESPONSE_TO_HGF_UP	4.8051423383841446E-26
MSigDB:MEBARKI_HCC_PROGENITOR_WNT_UP_CTNNB1_INDEPENDENT	6.22464859324634E-26
MSigDB:HOSHIDA_LIVER_CANCER_SUBCLASS_S1	6.998625107093659E-26
MSigDB:WP_SYNTHESIS_OF_CERAMIDES_AND_1DEOXYCERAMIDES	1.211964539562215E-25
MSigDB:CLASPER_LYMPHATIC_VESSELS_DURING_METASTASIS_DN	1.479171773074141E-25
MSigDB:REACTOME_SPHINGOLIPID_METABOLISM	1.6444492788507104E-25
MSigDB:STEGER_ADIPOGENESIS_DN	1.7732045057570166E-25
MSigDB:RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_DN	1.892534461673195E-25
MSigDB:VERRECCHIA_RESPONSE_TO_TGFB1_C2	1.9676093513487422E-25
MSigDB:PETROVA_PROX1_TARGETS_DN	2.3672519341829116E-25
MSigDB:KLEIN_PRIMARY_EFFUSION_LYMPHOMA_UP	2.4718896811096407E-25
MSigDB:REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI	2.7072429523234432E-25
MSigDB:REACTOME_MATURATION_OF_SARS_COV_2_SPIKE_PROTEIN	2.7966944038757603E-25
MSigDB:REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	3.7667566870153437E-25
MSigDB:LU_TUMOR_ANGIOGENESIS_UP	4.279748858960888E-25
MSigDB:ZHAN_MULTIPLE_MYELOMA_HP_DN	4.685374279863199E-25
MSigDB:HOLLERN_EMT_BREAST_TUMOR_UP	5.29484785599247E-25
MSigDB:DURAND_STROMA_S_UP	6.005484794141716E-25
MSigDB:NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_UP	6.983328726264434E-25
MSigDB:DORSEY_GAB2_TARGETS	8.174960075887132E-25
MSigDB:MEBARKI_HCC_PROGENITOR_WNT_UP_BLOCKED_BY_FZD8CRD	9.441507984052044E-25
MSigDB:KIM_GLIS2_TARGETS_UP	1.0165107924555413E-24
MSigDB:PID_UPA_UPAR_PATHWAY	1.2583706767987721E-24
MSigDB:REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS	1.3592681676009643E-24
MSigDB:REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS	1.5074049535258765E-24
MSigDB:REACTOME_SYNDECAN_INTERACTIONS	1.5075626990260165E-24
MSigDB:INGRAM_SHH_TARGETS_DN	1.926424879440351E-24
MSigDB:TARTE_PLASMA_CELL_VS_PLASMABLAST_UP	2.2106211835610383E-24
MSigDB:REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD	2.5581086518307126E-24
MSigDB:WESTON_VEGFA_TARGETS_6HR	3.0462306521330767E-24
MSigDB:WP_PLATELETMEDIATED_INTERACTIONS_WITH_VASCULAR_AND_CIRCULATING_CELLS	3.086852525053226E-24
MSigDB:REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS	3.273460419423332E-24
MSigDB:MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	3.309818274457773E-24
MSigDB:LEE_LIVER_CANCER_HEPATOBLAST	3.842811972820743E-24
MSigDB:WP_BURN_WOUND_HEALING	5.0668940993047215E-24
MSigDB:LANDIS_BREAST_CANCER_PROGRESSION_DN	6.1797493434239364E-24
MSigDB:KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	6.259083338620973E-24
MSigDB:KANG_IMMORTALIZED_BY_TERT_UP	7.392565195445968E-24
MSigDB:ROSS_AML_WITH_MLL_FUSIONS	7.879731835142337E-24
MSigDB:RODRIGUES_THYROID_CARCINOMA_DN	9.339600071120222E-24
MSigDB:PID_INTEGRIN3_PATHWAY	9.486608079506098E-24
MSigDB:TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_UP	1.0118873316990184E-23
MSigDB:ROY_WOUND_BLOOD_VESSEL_UP	1.0563295503599972E-23
MSigDB:PARK_APL_PATHOGENESIS_DN	1.169408104927857E-23
MSigDB:LIAN_NEUTROPHIL_GRANULE_CONSTITUENTS	1.1923514945325243E-23
MSigDB:REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE	1.2431353447111325E-23
MSigDB:PID_SYNDECAN_4_PATHWAY	1.2467797482927287E-23
MSigDB:DACOSTA_ERCC3_ALLELE_XPCS_VS_TTD_DN	1.3894763432720907E-23
MSigDB:VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP	1.4411843703599653E-23
MSigDB:MANALO_HYPOXIA_UP	1.5109796863890428E-23
MSigDB:BIOCARTA_LYM_PATHWAY	2.001566841351804E-23
MSigDB:CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_UP	2.1592657953302884E-23
MSigDB:CUI_TCF21_TARGETS_UP	2.2021613617057088E-23
MSigDB:LE_SKI_TARGETS_UP	4.13445139828157E-23
MSigDB:ZHAN_MULTIPLE_MYELOMA_DN	4.3808508150323575E-23
MSigDB:PEDERSEN_TARGETS_OF_611CTF_ISOFORM_OF_ERBB2	5.224016113146214E-23
MSigDB:HUMMERICH_SKIN_CANCER_PROGRESSION_UP	5.593894906082924E-23
MSigDB:KEGG_SPHINGOLIPID_METABOLISM	5.968939692964819E-23
MSigDB:ZHU_SKIL_TARGETS_UP	6.097516577805115E-23
MSigDB:BRUECKNER_TARGETS_OF_MIRLET7A3_DN	6.711200042128349E-23
MSigDB:KEGG_GALACTOSE_METABOLISM	7.477674404955858E-23
MSigDB:CHIBA_RESPONSE_TO_TSA_UP	8.18457326135634E-23
MSigDB:KEGG_CELL_ADHESION_MOLECULES_CAMS	8.340238943947741E-23
MSigDB:WEINMANN_ADAPTATION_TO_HYPOXIA_DN	1.1024708394100454E-22
MSigDB:KANG_AR_TARGETS_DN	1.1898810782492686E-22
MSigDB:RUIZ_TNC_TARGETS_UP	1.3985744678646057E-22
MSigDB:BIOCARTA_GRANULOCYTES_PATHWAY	2.0064842735258015E-22
MSigDB:REACTOME_MUCOPOLYSACCHARIDOSES	2.0076391830123312E-22
MSigDB:BERENJENO_TRANSFORMED_BY_RHOA_DN	2.0963225364390272E-22
MSigDB:PETRETTO_CARDIAC_HYPERTROPHY	2.2689265182025313E-22
MSigDB:HARRIS_HYPOXIA	2.292243351452554E-22
MSigDB:KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	2.365748163882468E-22
MSigDB:GRUETZMANN_PANCREATIC_CANCER_UP	2.512813289504642E-22
MSigDB:BIOCARTA_LAIR_PATHWAY	3.271968750552483E-22
MSigDB:WP_CELLS_AND_MOLECULES_INVOLVED_IN_LOCAL_ACUTE_INFLAMMATORY_RESPONSE	3.271968750552483E-22
MSigDB:LIU_VAV3_PROSTATE_CARCINOGENESIS_UP	3.4290344078997925E-22
MSigDB:LINDGREN_BLADDER_CANCER_CLUSTER_2B	3.7544532057150846E-22
MSigDB:BURTON_ADIPOGENESIS_8	4.428841523297486E-22
MSigDB:HOOI_ST7_TARGETS_DN	5.204236894688035E-22
MSigDB:FOROUTAN_INTEGRATED_TGFB_EMT_UP	5.413813438892525E-22
MSigDB:JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP	5.674569350173707E-22
MSigDB:REACTOME_FIBRONECTIN_MATRIX_FORMATION	6.346193300465158E-22
MSigDB:YAMAZAKI_TCEB3_TARGETS_UP	6.606718137113762E-22
MSigDB:WONG_ADULT_TISSUE_STEM_MODULE	8.103885439529346E-22
MSigDB:PARENT_MTOR_SIGNALING_DN	8.200637230151848E-22
MSigDB:LI_INDUCED_T_TO_NATURAL_KILLER_UP	8.613414799438084E-22
MSigDB:WP_GANGLIO_SERIES_SPHINGOLIPID_METABOLISM	9.094785867429754E-22
MSigDB:BIOCARTA_SLRP_PATHWAY	1.0987423015607796E-21
MSigDB:HALLMARK_ANGIOGENESIS	1.1656473862747275E-21
MSigDB:VERHAAK_AML_WITH_NPM1_MUTATED_DN	1.4397995007184283E-21
MSigDB:LEIN_ASTROCYTE_MARKERS	1.9967201643148617E-21
MSigDB:DEMAGALHAES_AGING_UP	2.158499390472234E-21
MSigDB:LY_AGING_MIDDLE_UP	2.191046822315063E-21
MSigDB:FOROUTAN_TGFB_EMT_UP	2.536070418616755E-21
MSigDB:IGLESIAS_E2F_TARGETS_UP	2.6160418194420986E-21
MSigDB:LIEN_BREAST_CARCINOMA_METAPLASTIC	2.6393588350190295E-21
MSigDB:PID_INTEGRIN5_PATHWAY	2.6781837858859123E-21
MSigDB:TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP	2.9230007382526997E-21
MSigDB:REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15	3.3006483622596804E-21
MSigDB:WANG_SMARCE1_TARGETS_UP	3.4792825028626176E-21
MSigDB:DANG_REGULATED_BY_MYC_DN	3.8323404113636406E-21
MSigDB:REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1	3.848489695915132E-21
MSigDB:CHYLA_CBFA2T3_TARGETS_UP	3.943555973268612E-21
MSigDB:REACTOME_N_GLYCAN_ANTENNAE_ELONGATION	4.185701701075685E-21
MSigDB:KASLER_HDAC7_TARGETS_1_DN	4.5441514464106795E-21
MSigDB:WP_INTERACTIONS_BETWEEN_LOXL4_AND_OXIDATIVE_STRESS_PATHWAY	5.294162000800159E-21
MSigDB:ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE	5.8272660945498784E-21
MSigDB:WU_SILENCED_BY_METHYLATION_IN_BLADDER_CANCER	6.434188378050006E-21
MSigDB:ZHONG_SECRETOME_OF_LUNG_CANCER_AND_MACROPHAGE	6.691114696288205E-21
MSigDB:QI_PLASMACYTOMA_DN	7.244275660243809E-21
MSigDB:BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	9.347789692985893E-21
MSigDB:KONDO_EZH2_TARGETS	9.483016614350795E-21
MSigDB:CHICAS_RB1_TARGETS_CONFLUENT	1.359063775796865E-20
MSigDB:FOROUTAN_PRODRANK_TGFB_EMT_UP	1.3632436236573856E-20
MSigDB:MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	1.3646256490645306E-20
MSigDB:WOTTON_RUNX_TARGETS_UP	1.447670799599874E-20
MSigDB:REACTOME_ECM_PROTEOGLYCANS	1.4971758676801396E-20
MSigDB:MCLACHLAN_DENTAL_CARIES_UP	1.5380433124382875E-20
MSigDB:RHEIN_ALL_GLUCOCORTICOID_THERAPY_UP	1.7641655930070624E-20
MSigDB:ZHONG_SECRETOME_OF_LUNG_CANCER_AND_ENDOTHELIUM	2.0678003885536135E-20
MSigDB:KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	2.113174825556698E-20
MSigDB:LENAOUR_DENDRITIC_CELL_MATURATION_DN	3.270357123307987E-20
MSigDB:WP_SPHINGOLIPID_METABOLISM_OVERVIEW	3.367898284665022E-20
MSigDB:LEE_LIVER_CANCER_DENA_UP	3.4747635718105336E-20
MSigDB:ONDER_CDH1_TARGETS_2_UP	3.7472006321049706E-20
MSigDB:GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TAN_DN	4.214528986859601E-20
MSigDB:BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3	4.4571018863253824E-20
MSigDB:KIM_LIVER_CANCER_POOR_SURVIVAL_UP	4.83214033925597E-20
MSigDB:NAGASHIMA_NRG1_SIGNALING_DN	4.8841683847886164E-20
MSigDB:WP_SPHINGOLIPID_METABOLISM_INTEGRATED_PATHWAY	5.73934025692874E-20
MSigDB:WP_SPHINGOLIPID_PATHWAY	7.223106950576543E-20
MSigDB:BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP	7.709745142706998E-20
MSigDB:PLASARI_TGFB1_TARGETS_10HR_UP	8.290352025643289E-20
MSigDB:REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	9.321885137884483E-20
MSigDB:OISHI_CHOLANGIOMA_STEM_CELL_LIKE_DN	9.8960928664077E-20
MSigDB:YAGUE_PRETUMOR_DRUG_RESISTANCE_DN	1.1528247849632334E-19
MSigDB:WILCOX_RESPONSE_TO_PROGESTERONE_DN	1.1899314561008533E-19
MSigDB:STEARMAN_TUMOR_FIELD_EFFECT_UP	1.256950046891803E-19
MSigDB:KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	1.3503832774154845E-19
MSigDB:MURAKAMI_UV_RESPONSE_6HR_DN	1.512352189937008E-19
MSigDB:REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	1.5814162314921168E-19
MSigDB:CHANG_POU5F1_TARGETS_UP	1.831085009919842E-19
MSigDB:LU_TUMOR_VASCULATURE_UP	1.8933855254521845E-19
MSigDB:ENGELMANN_CANCER_PROGENITORS_DN	1.92134397009538E-19
MSigDB:MCCOLLUM_GELDANAMYCIN_RESISTANCE_UP	2.039726840129739E-19
MSigDB:SMID_BREAST_CANCER_LUMINAL_B_DN	2.0453197156892879E-19
MSigDB:KAYO_CALORIE_RESTRICTION_MUSCLE_UP	2.0649250808123707E-19
MSigDB:NOUSHMEHR_GBM_SILENCED_BY_METHYLATION	2.083256951625062E-19
MSigDB:REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	2.1474047716304003E-19
MSigDB:BIOCARTA_AMAN_PATHWAY	2.3770649892664804E-19
MSigDB:LANDIS_ERBB2_BREAST_TUMORS_324_DN	2.431403750899936E-19
MSigDB:REACTOME_REACTIONS_SPECIFIC_TO_THE_COMPLEX_N_GLYCAN_SYNTHESIS_PATHWAY	2.5443237076595367E-19
MSigDB:WP_PROTEOGLYCAN_BIOSYNTHESIS	2.7197328666346713E-19
MSigDB:VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP	2.8293822682457986E-19
MSigDB:TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_DN	2.963896024329038E-19
MSigDB:LEE_AGING_CEREBELLUM_UP	3.1292720987516675E-19
MSigDB:MCCABE_HOXC6_TARGETS_DN	3.36703589642376E-19
MSigDB:BURTON_ADIPOGENESIS_7	3.512315031388335E-19
MSigDB:NABA_CORE_MATRISOME	3.543530548373599E-19
MSigDB:URS_ADIPOCYTE_DIFFERENTIATION_DN	3.5459045215730176E-19
MSigDB:BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN	4.2878453674695947E-19
MSigDB:WP_COMPLEMENT_SYSTEM	4.395487042500222E-19
MSigDB:PID_INTEGRIN2_PATHWAY	5.044998942971934E-19
MSigDB:SANSOM_APC_TARGETS_DN	5.314856325021602E-19
MSigDB:SCHOEN_NFKB_SIGNALING	5.488887123030839E-19
MSigDB:PID_SYNDECAN_1_PATHWAY	6.492326209670117E-19
MSigDB:DASU_IL6_SIGNALING_UP	6.829074589083626E-19
MSigDB:WP_BIOSYNTHESIS_AND_TURNOVER_OF_1DEOXYSPHINGOID_BASES	7.467270453016119E-19
MSigDB:GOTZMANN_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP	7.758247766466521E-19
MSigDB:REACTOME_O_LINKED_GLYCOSYLATION	8.645653158598573E-19
MSigDB:ONDER_CDH1_TARGETS_2_DN	1.0346132833014503E-18
MSigDB:THUM_MIR21_TARGETS_HEART_DISEASE_UP	1.4542597009769419E-18
MSigDB:BOYLAN_MULTIPLE_MYELOMA_C_D_DN	1.5503693887269757E-18
MSigDB:TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_DN	1.584991909405415E-18
MSigDB:RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_UP	1.5910544797472339E-18
MSigDB:TSUNODA_CISPLATIN_RESISTANCE_DN	1.7887274247027116E-18
MSigDB:TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN	1.8208360548232176E-18
MSigDB:BAELDE_DIABETIC_NEPHROPATHY_UP	2.114416201896474E-18
MSigDB:WU_CELL_MIGRATION	2.3377806800288294E-18
MSigDB:BIOCARTA_FEEDER_PATHWAY	2.4227993908681814E-18
MSigDB:RIGGI_EWING_SARCOMA_PROGENITOR_UP	2.6705798878908934E-18
MSigDB:LU_TUMOR_ENDOTHELIAL_MARKERS_DN	2.7492466775977682E-18
MSigDB:WESTON_VEGFA_TARGETS_3HR	2.758266028500639E-18
MSigDB:NABA_ECM_AFFILIATED	3.2600069296273854E-18
MSigDB:MEBARKI_HCC_PROGENITOR_WNT_UP_CTNNB1_DEPENDENT_BLOCKED_BY_FZD8CRD	3.3778747941179154E-18
MSigDB:REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	3.503902106973503E-18
MSigDB:RAMALHO_STEMNESS_DN	3.509103018899321E-18
MSigDB:ROZANOV_MMP14_TARGETS_UP	3.6210109105322674E-18
MSigDB:SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_UP	3.713170585661863E-18
MSigDB:MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP	3.831103387322414E-18
MSigDB:KANG_AR_TARGETS_UP	4.17140085544936E-18
MSigDB:MATTHEWS_AP1_TARGETS	4.505559286937436E-18
MSigDB:THUM_SYSTOLIC_HEART_FAILURE_UP	5.191548363152118E-18
MSigDB:REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	5.4179298611365555E-18
MSigDB:HASINA_NOL7_TARGETS_DN	5.4481860294724735E-18
MSigDB:LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_UP	5.7581339863643264E-18
MSigDB:WANG_TNF_TARGETS	5.949842057271674E-18
MSigDB:NABA_MATRISOME_ASSOCIATED	6.026843486985481E-18
MSigDB:DESERT_EXTRACELLULAR_MATRIX_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP	7.088683198846773E-18
MSigDB:WP_ENDOCHONDRAL_OSSIFICATION	7.525503162717226E-18
MSigDB:WP_ENDOCHONDRAL_OSSIFICATION_WITH_SKELETAL_DYSPLASIAS	7.525503162717226E-18
MSigDB:LIM_MAMMARY_STEM_CELL_UP	7.686074926618241E-18
MSigDB:CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_DN	7.992050787511217E-18
MSigDB:ZHOU_INFLAMMATORY_RESPONSE_FIMA_UP	8.227125640057726E-18
MSigDB:REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	9.812723781475011E-18
MSigDB:SASAI_RESISTANCE_TO_NEOPLASTIC_TRANSFROMATION	9.979002071957477E-18
