	C-m	C-n	IG-n	IG-m	IG-m 44
NADK	494	2060	1292	423	230
GNB1	4760	16058	12670	1899	1322
RP1-140A9.1	7	4	0	21	17
CALML6	9	14	6	58	21
TMEM52	7	14	6	177	47
CFAP74	0	7	1	14	51
RP11-547D24.1	0	0	0	7	1
GABRD	0	2	0	28	11
RP11-547D24.3	2	0	0	1	7
PRKCZ	177	449	240	95	64
RP5-892K4.1	2	2	1	0	1
RP11-181G12.2	7	93	42	35	22
FAAP20	229	1063	587	777	103
RP11-181G12.4	2	7	3	1	3
SKI	329	3353	2852	206	284
MORN1	53	102	49	80	32
RP4-713A8.1	0	0	0	0	2
RP4-740C4.5	26	13	10	20	7
RP4-740C4.7	3	0	0	12	1
RER1	1186	3133	2921	1607	596
PEX10	351	825	503	383	252
PLCH2	78	70	1258	46	87
RP3-395M20.2	0	0	6	9	3
RP3-395M20.3	0	0	6	3	4
PANK4	187	652	709	372	176
HES5	3	0	0	0	2
RP3-395M20.12	34	21	17	117	33
RP3-395M20.8	50	32	25	46	96
TNFRSF14	474	537	382	920	327
RP3-395M20.7	1	0	0	0	14
RP3-395M20.9	7	0	3	14	30
FAM213B	490	1485	1211	324	164
MMEL1	2	8	3	3	2
RP13-436F16.1	0	0	0	0	0
TTC34	100	21	20	68	97
ABC14-1188822O7.1	0	0	0	0	2
RP11-740P5.2	0	0	0	0	0
RP11-740P5.3	0	0	0	0	0
ACTRT2	0	1	0	0	1
LINC00982	0	0	0	0	0
PRDM16	22	29	1	1	3
MIR4251	0	0	0	0	1
RP1-163G9.2	0	0	0	0	0
RP11-193J6.1	0	0	0	0	0
RP11-22L13.1	0	1	0	1	0
ARHGEF16	41	1017	120	53	32
RP11-168F9.2	0	4	0	2	2
MEGF6	157	3010	287	729	670
MIR551A	0	0	0	0	0
RP11-46F15.2	65	1	8	114	59
TPRG1L	3175	1528	1172	2302	761
WRAP73	178	489	349	207	43
TP73	32	21	7	49	27
RP5-1092A11.5	10	0	0	6	6
RP5-1092A11.2	0	0	0	0	1
TP73-AS1	189	608	363	174	164
CCDC27	2	1	0	3	5
SMIM1	66	45	32	114	16
LRRC47	1229	1647	1234	1311	524
RN7SL574P	3	5	5	0	0
RP1-286D6.5	25	22	38	13	17
CEP104	1344	1129	958	489	540
DFFB	85	177	136	42	36
C1orf174	222	568	356	180	112
LINC01134	111	16	19	112	92
LINC01346	0	0	0	0	2
RP13-614K11.2	2	0	0	0	0
EEF1DP6	0	0	0	0	0
RP5-1166F10.1	1	0	0	0	0
RP1-37J18.1	0	0	0	0	0
RP1-37J18.2	0	0	0	0	0
AJAP1	200	254	1	3	4
RP11-542C10.1	0	0	0	0	0
RP1-58B11.1	0	0	0	0	0
RP3-491M17.1	0	0	0	0	0
RP11-154H17.1	1	0	0	0	0
MIR4417	0	0	0	0	0
MIR4689	0	1	0	0	1
NPHP4	47	494	290	78	76
KCNAB2	85	46	126	131	95
CHD5	9	110	9	21	59
RPL22	2403	7317	4231	4296	1361
RP1-120G22.11	10	21	19	22	5
RNF207	199	1237	345	236	121
ICMT	1595	5003	4899	1276	674
LINC00337	2	19	7	6	6
HES3	0	2	0	0	1
GPR153	136	171	191	506	306
ACOT7	746	2110	1592	981	237
RP1-202O8.3	0	0	0	0	0
HES2	90	52	2	44	49
ESPN	35	9	1	31	17
MIR4252	0	0	0	0	0
RP1-202O8.2	3	0	0	0	2
TNFRSF25	12	531	152	325	117
PLEKHG5	112	2908	823	1583	1078
NOL9	432	549	467	464	301
RNU6-731P	0	0	0	0	0
RP11-58A11.2	0	7	1	0	1
TAS1R1	8	2	0	37	27
ZBTB48	275	371	214	641	143
KLHL21	1023	2581	1480	1203	1195
PHF13	196	754	774	229	162
THAP3	63	287	227	318	68
DNAJC11	1045	2110	1217	422	498
RP11-242F24.1	1	0	0	1	4
RP11-312B8.1	9	7	3	37	15
CAMTA1	428	535	362	490	149
RP11-312B8.2	0	0	0	0	0
RP11-334N17.1	0	0	0	0	2
RNU1-8P	0	0	0	0	0
CAMTA1-IT1	1	0	2	0	0
RP3-453P22.2	0	0	0	0	1
RP4-549F15.1	0	0	0	0	0
RP11-338N10.1	0	2	0	7	1
RP11-338N10.2	0	1	0	6	0
RP11-338N10.3	1	1	0	4	3
VAMP3	3081	3735	3248	1770	1017
RP3-467L1.6	2	13	5	1	8
PER3	41	426	312	26	81
RP3-467L1.4	0	4	3	10	1
UTS2	0	0	0	0	0
TNFRSF9	13	293	3	0	3
RP5-892F13.2	0	0	0	0	0
PARK7	1570	5286	4355	4858	1170
Y_RNA	240	313	214	137	597
ERRFI1	1098	3757	1769	369	405
RP11-431K24.1	7	0	1	11	15
CTA-215D11.4	0	0	0	0	1
RP11-431K24.2	0	0	0	0	2
RP11-431K24.3	1	1	0	5	16
RNU1-7P	0	0	0	0	0
RP11-431K24.4	0	0	0	0	2
RNU6-991P	0	0	0	0	0
SLC45A1	14	41	186	54	17
RERE	2104	3195	3163	742	907
RP5-1115A15.1	4	1	1	4	18
SNORA77	15	35	22	11	6
RP5-1115A15.2	0	0	0	0	2
RPL7P11	0	0	0	0	0
RPL7P7	0	0	0	0	0
RP4-633I8.3	0	0	0	0	1
RP4-633I8.4	1	0	0	0	0
RPL23AP19	0	0	0	0	3
ENO1	10395	83404	54654	18961	6932
MIR6728	0	0	2	0	0
ENO1-IT1	5	19	13	5	26
ENO1-AS1	10	22	15	7	42
RNU6-304P	0	0	0	0	2
HMGN2P17	0	2	1	0	2
RP3-477M7.5	2	0	0	0	0
RP3-477M7.6	0	0	0	0	0
CA6	0	3	0	0	5
RN7SL451P	0	0	0	0	0
SLC2A7	0	6	0	0	6
SLC2A5	20	4	42	46	6
SCARNA16	0	0	0	0	0
GPR157	99	161	82	135	155
MIR34A	577	483	361	376	504
RP3-510D11.2	69	36	36	77	92
RP3-510D11.4	14	3	3	25	19
H6PD	518	1923	1324	169	169
SPSB1	916	1356	1005	477	353
RNA5SP40	0	0	0	0	1
RP13-392I16.1	0	0	0	0	0
SLC25A33	256	363	194	194	53
RP13-15M17.1	3	6	4	0	1
TMEM201	179	1132	542	153	97
PIK3CD	2052	3033	544	481	351
PIK3CD-AS1	1	0	0	0	0
RP11-558F24.2	0	0	0	0	0
PIK3CD-AS2	16	36	22	28	18
CLSTN1	4863	11264	6797	1529	1117
MZT1P1	0	0	0	0	1
AL357140.1	0	0	1	0	0
CTNNBIP1	199	604	465	334	92
RP11-84A14.5	0	0	0	0	0
LZIC	348	476	499	486	382
RP11-84A14.4	10	2	1	18	7
NMNAT1	274	294	281	375	165
RN7SKP269	4	2	0	1	4
RP11-84A14.6	2	0	2	0	6
MIR5697	0	0	0	0	1
RP11-807G9.2	0	0	0	0	0
RBP7	3	52	13	12	7
UBE4B	309	2242	1871	218	253
RP11-496H15.2	0	0	0	0	3
PGAM1P11	0	3	0	0	0
RNU6-828P	0	0	0	0	1
KIF1B	1279	2047	1983	2073	3092
MIR1273D	0	0	0	0	1
RNU6-37P	0	0	0	2	1
RN7SL731P	0	0	0	0	0
PGD	6690	4839	4535	4223	1860
RP4-736L20.3	0	2	1	0	1
APITD1-CORT	27	59	37	36	10
APITD1	11	37	53	21	5
CORT	5	2	3	12	5
DFFA	1006	2238	1332	614	335
RP5-1113E3.3	0	0	0	0	0
PEX14	386	877	515	582	116
RN7SL614P	1	0	2	0	1
CASZ1	299	585	90	290	366
RP4-734G22.3	17	59	8	15	12
HSPE1P24	0	0	0	0	0
C1orf127	0	3	0	20	9
CFL1P6	1	0	0	6	0
TARDBP	1757	2947	2399	2010	1362
RP4-635E18.9	0	0	0	0	0
MASP2	88	55	26	3	51
RP4-635E18.8	53	53	20	70	24
SRM	223	3341	2751	427	106
EXOSC10	585	2502	1644	523	459
RP4-635E18.7	10	45	35	31	16
RP4-635E18.6	6	8	11	27	24
MTOR	1181	3116	1902	606	701
MTOR-AS1	0	0	0	0	0
RNU6-537P	1	0	0	0	0
ANGPTL7	0	2	1	9	7
RNU6-291P	0	0	0	0	0
RPL39P6	0	0	0	0	0
UBIAD1	283	847	527	361	153
UBE2V2P3	0	0	0	0	1
RP11-149P14.1	0	0	0	0	0
DISP3	41	13	1	1	10
RP1-69M21.2	0	0	0	6	5
FBXO2	48	253	108	347	46
FBXO44	109	516	391	341	95
FBXO6	43	181	123	74	101
MAD2L2	147	739	691	359	82
DRAXIN	30	92	2	2	10
AGTRAP	594	785	619	900	203
C1orf167	0	3	0	1	1
RP11-56N19.5	0	0	0	0	0
MTHFR	684	622	661	949	927
CLCN6	561	776	673	290	421
NPPA-AS1	8	14	20	21	26
NPPA-AS1_1	0	0	0	0	0
NPPA-AS1_2	0	0	0	0	0
NPPA	5	6	4	10	6
NPPA-AS1_3	0	0	0	0	0
NPPB	221	2	1	55	19
RP5-934G17.6	0	1	0	0	2
RNU5E-1	5	0	1	1	838
RNU5E-4P	1	1	0	2	255
KIAA2013	1201	2038	1687	1201	372
PLOD1	1066	5542	6070	1079	508
MFN2	2474	3885	3370	1187	908
RP5-1077B9.5	1	0	0	0	0
MIIP	156	626	350	405	80
MIR6729	0	0	0	0	0
RN7SL649P	0	0	0	0	0
TNFRSF8	4	10	9	0	10
RNU6-777P	0	0	0	0	3
RPL23AP89	0	0	0	0	7
TNFRSF1B	16	8	4	13	16
MIR4632	0	0	0	0	0
RP5-1118D24.2	0	0	0	0	0
SNORA70	34	164	119	100	51
VPS13D	787	1418	976	257	571
SNORA59A	1	1	4	0	0
RP5-888M10.2	0	0	0	0	0
DHRS3	120	826	272	20	3
RNU6ATAC18P	0	5	0	0	0
MIR6730	1	0	0	0	0
RP11-474O21.5	6	14	5	1	6
AADACL4	0	3	4	1	1
RP11-474O21.2	0	0	0	0	0
AADACL3	0	0	0	0	2
C1orf158	0	0	0	0	3
PRAMEF12	1	2	0	270	126
PRAMEF1	16	0	0	347	185
RP5-845O24.8	0	0	0	0	0
PRAMEF11	1	0	0	50	22
PRAMEF30P	0	0	0	0	4
HNRNPCL1	3	3	1	21	46
PRAMEF2	7	0	0	305	227
PRAMEF4	1	0	0	102	37
PRAMEF10	0	0	0	38	21
PRAMEF7	3	1	0	8	6
RNU6-1072P	0	0	0	0	0
PRAMEF29P	0	0	0	0	0
PRAMEF6	1	1	0	145	34
PRAMEF28	0	0	0	21	16
PRAMEF27	1	0	0	0	5
PRAMEF25	0	0	0	4	2
HNRNPCL3	0	0	0	23	34
PRAMEF34P	0	0	0	0	0
PRAMEF35P	0	0	0	0	1
HNRNPCL2	0	0	0	17	69
PRAMEF36P	0	0	0	0	0
RP13-221M14.2	0	0	0	0	0
PRAMEF26	0	0	0	2	3
HNRNPCL4	0	0	0	4	3
PRAMEF9	0	0	0	408	104
PRAMEF13	0	0	0	86	67
PRAMEF18	0	2	0	13	9
PRAMEF31P	0	0	0	5	3
PRAMEF5	0	0	0	246	46
PRAMEF32P	0	0	0	0	0
RNU6-443P	0	0	0	0	0
PRAMEF8	8	0	0	46	35
PRAMEF15	5	0	0	163	73
PRAMEF33P	0	0	0	32	26
RP11-219C24.10	0	0	0	0	0
PRAMEF14	1	1	0	202	98
PRAMEF19	0	0	0	4	17
PRAMEF17	0	0	0	10	11
PRAMEF20	4	1	0	86	62
LRRC38	2	0	0	23	2
RP4-597A16.2	0	0	0	0	0
BRWD1P1	0	0	0	0	0
PDPN	81	323	20	0	1
RNA5SP41	0	0	0	0	0
CTA-520D8.2	0	0	0	0	0
SCARNA11	0	1	0	0	0
PRDM2	808	1086	743	382	592
KAZN	674	1609	509	266	299
RNU6-1265P	0	0	0	0	0
RP11-344F13.1	0	0	0	0	0
RP4-704D23.1	1	0	0	0	0
TBCAP2	0	0	0	0	0
TMEM51-AS1	73	54	0	48	24
TMEM51	564	1624	236	202	111
C1orf195	1	1	0	0	0
RP1-21O18.3	2	0	0	0	0
RP5-903E17.2	0	6	0	0	2
FHAD1	1	8	1	3	10
RP3-467K16.2	1	2	0	0	3
RP3-467K16.7	0	0	0	0	0
RP3-467K16.4	2	4	2	8	38
EFHD2	1178	4062	1942	2805	922
CTRC	1	0	0	19	11
CELA2A	0	3	0	5	12
CELA2B	1	2	0	2	22
CASP9	321	427	233	403	192
DNAJC16	658	881	575	286	319
SCARNA21	1	2	0	6	9
RP4-680D5.8	1	0	0	4	0
AGMAT	33	162	46	26	15
RP4-680D5.2	20	9	4	20	42
CHCHD2P6	4	10	9	5	3
RNU7-179P	0	0	0	0	0
RP4-680D5.4	0	0	0	0	5
DDI2	966	1094	750	644	769
RSC1A1	0	0	0	0	0
RP4-680D5.9	0	0	0	13	18
PLEKHM2	2190	3590	1782	2198	1012
RP11-288I21.1	13	10	8	19	15
SLC25A34	64	27	10	62	83
RP11-169K16.4	1	5	0	0	3
TMEM82	0	1	0	1	3
FBLIM1	2627	9285	820	581	280
RPL12P14	1	8	1	2	7
UQCRHL	72	116	85	109	30
RP11-169K16.8	1	11	0	2	4
FLJ37453	87	38	43	259	259
SPEN	702	2027	1743	255	699
RP1-134O19.3	0	0	0	0	3
ZBTB17	292	926	532	649	209
RP11-5P18.1	0	0	0	0	1
RP11-5P18.3	0	0	0	0	0
RP11-5P18.11	0	0	0	0	0
TBC1D3P6	0	0	0	0	0
C1orf64	0	0	0	0	3
RP11-5P18.5	0	0	0	0	0
HSPB7	79	12	8	36	71
CLCNKA	40	3	1	57	46
RP11-5P18.10	7	4	0	3	2
CLCNKB	4	6	1	12	15
FAM131C	18	36	28	11	6
EPHA2	2779	8052	5658	1116	1359
RP11-276H7.2	30	21	15	3	35
RP11-276H7.3	11	23	8	3	33
ARHGEF19-AS1	2	0	1	0	0
ARHGEF19	18	257	110	30	16
ANO7P1	3	15	9	4	17
RSG1	38	124	82	69	35
MT1XP1	0	1	0	0	0
FBXO42	483	889	644	437	271
SZRD1	1988	7018	5120	2079	1266
RP11-430L17.1	2	2	0	6	33
SPATA21	0	3	0	0	9
NECAP2	1354	3022	1759	1203	434
RP4-798A10.2	17	7	8	3	4
CROCCP3	122	169	109	41	54
RNU1-1	0	0	0	5	1013
RP4-798A10.7	9	1	3	52	22
RP4-798A10.4	0	3	1	0	0
RP5-875O13.1	1	0	0	0	0
RNU1-6P	0	0	0	0	3
FAM231B	0	0	0	0	0
RP5-875O13.6	0	0	0	0	0
NBPF1	163	427	563	37	70
RP5-1182A14.5	1	0	0	0	0
CROCCP2	153	497	358	162	86
MST1P2	31	88	36	36	30
RP1-163M9.8	0	0	0	0	4
RNU1-3	0	0	0	0	26
FAM231A	0	0	0	0	0
RP5-875O13.7	0	0	0	1	0
EIF1AXP1	5	14	9	2	1
ESPNP	1	5	0	4	8
RP1-163M9.7	1	0	0	3	1
FAM231C	0	0	0	0	0
RP5-1182A14.7	0	0	0	0	11
CROCC	311	1116	559	310	132
CROCCP4	2	0	0	0	4
RNU1-4	0	0	0	0	19
MST1L	15	285	16	48	24
RP11-108M9.1	0	0	0	0	0
RP11-108M9.2	0	1	0	0	0
MIR3675	0	0	0	0	0
RP11-108M9.3	1	3	0	0	0
RNU1-5P	0	0	0	0	5
RP11-108M9.4	9	16	12	14	2
RP11-108M9.5	8	6	4	7	2
RNU1-2	0	0	0	4	1162
RP11-108M9.6	9	1	0	12	47
MFAP2	8	483	622	10	12
RP1-37C10.3	0	2	3	0	0
ATP13A2	3065	2964	3210	856	398
SDHB	994	1807	1608	1427	390
PADI2	22089	9463	2796	4785	3612
RP11-380J14.1	55	244	53	38	70
RP11-380J14.4	0	3	1	0	2
PADI1	62	678	51	13	34
PADI3	18	25	27	4	2
MIR3972	0	0	0	0	0
PADI4	3	4	0	2	2
AC004824.1	0	0	0	0	0
PADI6	1	3	0	0	2
RP1-20B21.4	0	0	0	0	0
RCC2	1729	4944	2318	786	623
ARHGEF10L	848	1204	482	730	465
RP11-473A10.2	0	0	0	0	0
ACTL8	0	1	0	0	2
RP11-174G17.2	0	0	0	0	0
IGSF21	3	1	0	0	5
RP11-174G17.3	0	0	0	0	0
RP11-174G17	0	0	0	0	0
RP11-422P22.1	0	0	0	0	0
KLHDC7A	215	204	2	0	8
DYNLL1P3	0	0	0	0	0
RP1-8B22.2	0	0	0	0	0
PAX7	4	0	0	0	2
TAS1R2	2	0	0	0	1
RP13-279N23.2	0	0	0	0	3
ALDH4A1	632	592	224	771	177
MIR4695	0	0	0	0	0
MIR1290	0	0	0	0	0
IFFO2	975	1136	610	247	355
RP5-1126H10.2	8	39	11	9	13
UBR4	3626	6041	4196	1104	3441
RP1-43E13.2	9	9	5	7	12
EMC1	1669	3512	3357	1706	1615
MRTO4	562	2186	1371	901	345
AKR7L	7	6	4	7	10
AKR7A3	36	24	6	30	16
RP4-657E11.10	33	18	16	0	14
AKR7A2	546	1777	1132	1051	247
RNU6-1099P	1	1	0	0	0
PQLC2	470	863	440	617	151
CAPZB	4457	8226	6119	4003	1589
RN7SL277P	0	0	0	0	2
RNU4-28P	0	0	0	0	0
RP5-1056L3.1	2	0	0	0	5
MINOS1	375	1584	1067	1022	207
MINOS1-NBL1	0	0	0	0	0
RP5-1056L3.3	10	11	9	40	6
NBL1	147	615	407	402	58
HTR6	1	1	0	0	0
TMCO4	356	694	502	295	186
RNF186	19	0	0	2	7
RP11-91K11.2	0	0	0	0	2
OTUD3	1375	545	403	275	387
PLA2G2E	0	1	0	13	4
RN7SL304P	0	0	0	0	1
PLA2G2A	0	1	0	7	0
PLA2G5	0	0	0	0	1
PLA2G2D	3	0	0	0	3
PLA2G2F	6	81	0	0	4
RP3-340N1.2	0	1	0	0	1
PLA2G2C	1	0	0	0	1
UBXN10-AS1	5	1	0	0	4
UBXN10	29	41	0	5	8
RP3-340N1.6	0	0	0	0	0
VWA5B1	172	8	0	0	10
RP4-745E8.2	3	0	0	0	0
LINC01141	0	0	0	0	1
RP4-749H3.2	0	0	0	0	0
CAMK2N1	1154	3347	1466	394	289
MUL1	898	1126	1129	1086	494
RPS4XP4	0	0	0	0	1
FAM43B	2	14	0	3	2
CDA	53	325	66	16	19
PINK1	407	877	513	339	161
PINK1-AS	191	226	220	128	94
DDOST	5550	8291	6348	5706	3256
KIF17	62	54	33	37	85
RP5-930J4.5	0	0	0	0	2
SH2D5	781	1536	521	515	319
RP5-930J4.2	3	3	0	1	4
HP1BP3	1422	5886	6472	938	1420
EIF4G3	2047	3637	3753	913	1270
RNU7-200P	1	0	0	0	0
MIR1256	0	0	0	0	0
RPS15AP6	4	0	0	5	1
RP11-487E1.2	0	0	0	0	2
HSPE1P27	0	0	0	0	1
ECE1	1922	12339	3897	729	743
RP3-329E20.2	0	0	0	0	1
RP5-1071N3.1	2	8	3	0	6
PPP1R11P1	0	0	0	0	0
RP11-293F5.8	0	0	0	0	0
RP11-293F5.1	0	0	0	0	1
NBPF2P	4	4	12	0	1
HS6ST1P1	1	4	1	0	2
CROCCP5	0	0	0	0	0
NBPF3	218	179	220	10	21
PFN1P10	0	0	0	0	0
ALPL	172	11	1	137	83
RP11-63N8.3	0	0	0	0	1
RAP1GAP	334	388	26	127	66
USP48	1314	2191	1545	616	556
RP11-132G19.3	0	0	0	0	0
LDLRAD2	10	29	2	13	7
HSPG2	6979	20728	3323	1195	5829
RP11-26H16.1	0	0	0	1	4
RP11-26H16.4	2	1	0	0	1
CELA3B	8	1	0	49	17
RN7SL386P	0	0	0	0	0
RNU6-1022P	0	0	0	0	0
CELA3A	106	1	0	1701	587
RN7SL186P	1	0	0	0	1
RNU6-776P	1	0	0	0	0
RP1-224A6.3	8	4	8	4	24
LINC00339	93	86	94	209	60
CDC42	4621	7936	6358	3813	2527
CDC42-IT1	2	1	0	0	5
RP1-224A6.8	1	1	0	0	5
RP1-224A6.9	0	0	4	2	2
WNT4	147	3	6	587	124
MIR4418	0	0	0	0	0
RP11-415K20.1	1	2	0	0	0
RP11-415K20.2	0	0	0	0	0
ZBTB40	650	1343	902	480	764
ZBTB40-IT1	0	3	1	0	2
EPHA8	2	2	0	0	11
MIR6127	0	0	0	0	0
C1QA	3	1	0	18	1
C1QC	0	0	0	0	1
C1QB	0	1	0	0	1
EPHB2	1077	5959	5868	837	585
MIR4684	0	0	0	0	0
RP11-69E9.1	0	0	0	0	1
MIR4253	0	0	0	0	0
LACTBL1	0	0	0	0	1
C1orf234	2	2	1	6	5
KDM1A	1488	3156	2134	990	527
RP1-184J9.2	0	0	0	0	2
MIR3115	0	0	0	0	0
MIR4419A	0	0	0	0	0
LUZP1	822	2435	1805	281	674
RP5-979D14.1	0	0	0	0	1
RNU6-514P	1	0	0	0	0
RNU6-135P	1	0	0	0	2
HTR1D	4	4	14	7	21
RP5-1057J7.1	0	2	0	0	0
LINC01355	152	66	81	21	62
HNRNPR	2941	6018	5036	1933	1786
ZNF436	274	399	379	110	157
ZNF436-AS1	174	48	74	365	295
RP5-1057J7.7	12	1	1	38	9
TCEA3	1326	101	73	1938	567
RP4-654C18.1	0	0	0	0	1
ASAP3	522	293	231	378	340
E2F2	2	282	129	13	68
RP1-150O5.3	4	0	0	15	43
ID3	797	1568	2395	4164	1610
MDS2	2	1	0	31	27
RP11-223J15.2	0	0	0	0	0
RPL11	4113	16147	10140	7183	1839
TCEB3	852	1855	1444	605	612
TCEB3-AS1	1	6	9	0	10
PITHD1	641	1055	1117	1473	486
LYPLA2	677	4518	1864	655	189
GALE	461	2316	1190	826	274
HMGCL	795	775	618	1821	502
FUCA1	1169	2601	553	616	299
CNR2	1	1	0	4	3
BTBD6P1	0	0	0	0	0
RP11-4M23.3	0	0	0	0	0
MIR378F	0	0	0	0	0
RP11-4M23.4	0	0	0	0	4
PNRC2	1320	3018	1762	660	664
SRSF10	1810	3147	2588	1544	1292
RP11-4M23.7	2	0	0	4	0
RP11-293P20.2	0	0	0	5	1
MYOM3	63	58	1	739	500
RP11-293P20.4	1	0	0	0	2
IL22RA1	2	13	1	7	7
IFNLR1	18	109	24	18	9
RP11-10N16.2	0	0	0	0	0
RP11-10N16.3	1	0	0	0	1
GRHL3	3	41	1	0	6
STPG1	10	218	187	12	7
NIPAL3	281	963	1401	149	191
RCAN3	31	521	207	7	6
RP4-594I10.3	0	0	0	0	0
NCMAP	0	38	1	1	1
RP11-496D1.2	0	0	0	0	0
SRRM1	1061	2423	1932	780	839
CLIC4	10552	9997	7667	2849	5036
RNU6-1208P	0	0	0	0	3
RUNX3	0	0	0	3	5
MIR6731	0	0	0	0	1
RP11-84D1.1	0	0	0	0	1
RP11-84D1.2	0	0	0	0	2
MIR4425	0	0	0	0	0
RP4-799D16.1	0	0	0	0	0
RP4-781L3.1	0	0	0	0	0
RP4-706G24.1	0	0	0	1	5
SYF2	675	1049	593	1087	384
RSRP1	717	820	1169	1195	892
RP3-465N24.6	5	2	1	19	8
RP3-465N24.5	3	11	10	1	3
RHD	7	8	5	4	4
SDHDP6	2	0	0	0	0
RP11-335G20.7	8	28	19	0	9
